alpha_deg,nx,ny,Cd_mean,Cl_mean,Ef_mean,Cd_final,Cl_final,Ef_final,Cd_std,Cl_std,Cd_p,Cd_v,Cl_p,Cl_v,Drag,Lift,n_muestras_cd,n_muestras_cl,elapsed_s
-2.0,1385,1147,0.05370957178196737,-0.09661421179771423,-1.7988267005724259,0.05373028665781021,-0.10611695051193237,-1.9749931949508268,5.560156328985318e-05,0.00562767272438594,0.037360884914776155,0.01637444296979175,-0.11077395334496982,0.0044410197170075315,0.026867663942283952,-0.05316646681398115,56,56,462.06384897232056
-1.0,1385,1147,0.05309778505137989,-0.03880109318665096,-0.7307478673376906,0.052829254418611526,-0.04289676994085312,-0.8119889332706685,0.00023029174049343855,0.002456064928332668,0.0363149708006741,0.016517921790320515,-0.04490849082395712,0.001940621975044588,0.026416446295497307,-0.021483934424456265,56,56,467.6690034866333
0.0,1385,1147,0.052425250477556674,-8.73288411185058e-06,-0.00016657782332559653,0.05191670358181,-3.827799446298741e-05,-0.0007372963193371706,0.0004457980344135311,1.8134013931503117e-05,0.035629927611899447,0.016288379718825192,-3.896412691345875e-05,1.0108928947629749e-06,0.02595915366536232,-1.8976617009347886e-05,56,56,463.1238627433777
1.0,1385,1147,0.053097224927374294,0.03882339337308492,0.7311755638112362,0.05282856151461601,0.042948946356773376,0.8129872388232783,0.00023080543808860838,0.0024601254679596915,0.03631499391570577,0.016516672014528982,0.044971078329066744,-0.0019422516077079212,0.026415832965117375,0.021514413360679413,56,56,464.60429644584656
2.0,1385,1147,0.053708597152893035,0.09664706766073193,1.7994710862695842,0.053729474544525146,0.10615091770887375,1.9756552359526132,5.4426715362082264e-05,0.005635174485808223,0.03736292815276999,0.016374643490235898,0.11079437732506886,-0.004442061639683321,0.02686878582150294,0.05317615784269277,56,56,465.0487687587738
3.0,1385,1147,0.05889347375237516,0.14637023503226892,2.4853387940351515,0.05957343801856041,0.1607426553964615,2.698226940442505,0.00045245220437934016,0.008848456797535865,0.04305044588934591,0.01653440108526929,0.16779230239711684,-0.006627285913990948,0.0297924234873076,0.08058250824156295,56,56,461.4721963405609
4.0,1385,1147,0.06595077219286136,0.20817934881363595,3.1565869798287167,0.06768825650215149,0.22759424149990082,3.36238888783709,0.001112002702047975,0.012487195062071216,0.051046030235752646,0.016683129045580676,0.2373959602325597,-0.009288690300681374,0.033864579640666664,0.11405363496593916,56,56,465.6665229797363
5.0,1385,1147,0.0725279531574675,0.25453315382557257,3.5094490157877254,0.07512781023979187,0.27823606133461,3.703502876585117,0.001673265982844487,0.01551816906388571,0.058652318661482676,0.01654591375934109,0.2902789376926237,-0.01144623532120052,0.037599116210411884,0.13941635118571158,56,56,466.3468699455261
6.0,1385,1147,0.07903184182941914,0.2991424447723797,3.7850876032731624,0.08240888267755508,0.3251485228538513,3.9455518906387126,0.002135730918796091,0.017111286465464046,0.06610053610537289,0.016395157481506828,0.3392117401532474,-0.013330827174697512,0.04124784679343986,0.16294045648927494,56,56,460.1698706150055
7.0,1385,1147,0.08369084088397878,0.3298195797417845,3.940928018622919,0.087897390127182,0.36110052466392517,4.108205307818985,0.002640750762296159,0.02019543491117224,0.07233190263677726,0.015690134958406952,0.37648146043371694,-0.014550057052330015,0.0440110187975921,0.18096570169069345,56,56,465.4336814880371
8.0,1385,1147,0.08827989189220327,0.3563473378973348,4.03656291664316,0.09334533661603928,0.3889780342578888,4.167085880871436,0.0028592999761702935,0.019612045545602114,0.0784568842507335,0.01505792638472493,0.4055129177831731,-0.015514189706634358,0.04675740531772921,0.19499936403826937,56,56,462.9957950115204
9.0,1385,1147,0.09618372443531241,0.3932603837123939,4.088637511400154,0.102591872215271,0.4302825331687927,4.194119123451812,0.004144703533890074,0.024927944017610427,0.08839222438695109,0.014313131483646643,0.44720816786239004,-0.016314869269211274,0.051352677935298865,0.21544664929658938,56,56,463.8960189819336
10.0,1385,1147,0.10253813809582166,0.40749489249927656,3.974081254708112,0.10988187044858932,0.441534161567688,4.018262155213945,0.004556612876256864,0.02206270036162146,0.09566464225010758,0.014268993508071228,0.4586450181111643,-0.016539186128376727,0.05496681787908941,0.2210529159913938,56,56,465.03790736198425
11.0,1385,1147,0.11677795542137963,0.4514618968325002,3.8659856237716497,0.12445027381181717,0.48521342873573303,3.8988538463919364,0.004932970984647874,0.023508888147738282,0.11010734426721258,0.01461568578239083,0.5044399190978343,-0.018203744953173864,0.06236151502480171,0.2431180870723302,56,56,461.6311264038086
12.0,1385,1147,0.1266196971493108,0.4536302903933184,3.582620244766457,0.13310948014259338,0.4708925783634186,3.53763366710602,0.004667958651506644,0.016892148695177352,0.1198670783817328,0.01344052914499783,0.48914776253294084,-0.017933009428026562,0.06665380376336531,0.23560737655245714,56,56,467.40382385253906
