dx_min,alpha,nx,ny,Cl_mean,Cl_final,Cl_std,Cd_mean,Cd_final,Cd_std,Ef_mean,Ef_final,Cl_p,Cl_v,Cd_p,Cd_v,Cl_bl,Cd_bl,Ef_bl,elapsed_s,its_per_s
0.0005,10.0,2895,2343,0.4842987731099129,0.4749252498149872,0.014501793727861013,0.12773730605840683,0.12192268669605255,0.006044704533631034,3.791365170081724,3.895298427920582,0.49393865280185156,-0.01939332019836922,0.10184466315207796,0.01985751933488472,0.564502240072044,0.10184466315207796,5.54277683877367,449.20875358581543,4.4522729889722115
0.001,-10.0,1479,1203,-0.47957401829106466,-0.47648271918296814,0.014252774935095294,0.10645499027201108,0.10853087902069092,0.002837904687211762,-4.504946335213308,-4.390296323796741,-0.48498186309307967,0.009337658758342506,0.09923495995831741,0.008973166030422275,-0.5481277106890386,0.09923495995831741,-5.523534356433196,221.10864424705505,9.04532704639673
0.001,-9.0,1479,1203,-0.48807528827871594,-0.4906117022037506,0.005746380927226601,0.10424262258623328,0.104585662484169,0.001894148151998271,-4.6821086823191,-4.6910034372829434,-0.500102500354174,0.009567433723181687,0.09496239985517971,0.009470113512723092,-0.5448222320010058,0.09496239985517971,-5.737241611752386,220.89177751541138,9.05420755129947
0.001,-8.0,1479,1203,-0.45461406239441465,-0.45700010657310486,0.006278960374038797,0.09740972785013062,0.09525953978300095,0.00286143727233407,-4.667029386365389,-4.7974208946856205,-0.46591300682470277,0.009198218376763937,0.08525445919669389,0.009929268318376903,-0.5066942337706922,0.08525445919669389,-5.9433164968142975,223.7971522808075,8.936664205139294
0.001,-7.0,1479,1203,-0.42133900097438265,-0.43151476979255676,0.005531492220948128,0.09206463396549225,0.0908159390091896,0.0023343681680319194,-4.576556521501072,-4.751531223488115,-0.4412483107833497,0.008682373798254943,0.08006824325964808,0.010709176060408833,-0.4653370582761544,0.08006824325964808,-5.811755564152235,221.81178379058838,9.016653515072905
0.001,-6.0,1479,1203,-0.3850439637899399,-0.3908401429653168,0.0038307683458593364,0.08706142966236387,0.08544319868087769,0.00230315164423914,-4.422669892777927,-4.5742686252309905,-0.40027444889313346,0.007873205695433826,0.0737354001871925,0.011794013398228009,-0.41946706415339263,0.0737354001871925,-5.688815183595519,219.86314415931702,9.096567811068699
0.001,-5.0,1479,1203,-0.32656336043562206,-0.3369024991989136,0.005582947685119863,0.07925051636993885,0.07722009718418121,0.0020473406336877467,-4.120646468866333,-4.3628862366664976,-0.3442349170500961,0.006772898840415286,0.06545181108311525,0.011668188876139454,-0.3562980709359005,0.07316687945490756,-4.869663344812806,219.7339415550232,9.10191655347512
0.001,-4.0,1479,1203,-0.2683393678494862,-0.27897530794143677,0.005593726132699146,0.0713198089173862,0.0694463700056076,0.0019045887082488016,-3.7624801849976772,-4.0171330469671815,-0.2855855782025962,0.005679307872094258,0.05658846938620426,0.012735190091186517,-0.29122596867413464,0.0737666009259921,-3.9479380236906025,219.83512806892395,9.09772709015344
0.001,-3.0,1479,1203,-0.18296956430588449,-0.19024057686328888,0.004359220911133574,0.06222351188106196,0.059343963861465454,0.002374334707347916,-2.9405213363016913,-3.2057274992178293,-0.19326211234599946,0.0040483144464724535,0.04699590992256247,0.01228483596692093,-0.20294339369709888,0.06186989298367945,-3.280163968452846,219.84738039970398,9.097220064045361
0.001,-2.0,1479,1203,-0.11779290890055043,-0.12152649462223053,0.0015276524431869184,0.05677114014646837,0.053941112011671066,0.0022404844248088266,-2.0748730533973276,-2.2529475216591055,-0.12445056587586029,0.002589019843623274,0.04111069093034309,0.012676308355806288,-0.13290848238495773,0.05159752441667084,-2.5758693636475285,219.21442437171936,9.12348722367203
0.001,-1.0,1479,1203,-0.04204475999410663,-0.03686125576496124,0.0026392024589663096,0.05713280822549548,0.05389334261417389,0.0024435805089101335,-0.7359127146028188,-0.6839667754300097,-0.03812483809737623,0.000944969409524701,0.040696478090843244,0.013018433436997719,-0.05421193413649688,0.051182989113895065,-1.059178744247657,219.05280828475952,9.130218487772517
0.001,0.0,1479,1203,-2.509852725753246e-05,6.210687388374936e-06,2.673499409135753e-05,0.05652579212827342,0.05376255884766579,0.0022474442915131412,-0.00044401902764275503,0.00011552068059060745,-2.6290317914103023e-05,1.8987795173241312e-07,0.04078298261333638,0.012779368092453846,2.0174036762909964e-05,0.05114514922385479,0.0003944467279704508,218.75273299217224,9.142742916366522
